,Product_name,Product_Price,Reviews
109,"APPLE iPhone 15 (Green, 128 GB)","₹76,990",4.6
110,Micromax X778,"₹1,474",3.9
111,Kechaoda A27,₹975,4
112,"IQOO Z7 Pro 5G (Blue Lagoon, 128 GB)","₹24,498",4.5
113,"REDMI A2+ (Classic Black, 128 GB)","₹7,395",4.1
114,Kechaoda A26,₹975,4
115,"REDMI Note 12 Pro 5G (Onyx Black, 256 GB)","₹25,999",4.1
116,"SAMSUNG Galaxy A14 5G (Black, 64 GB)","₹14,499",4.1
117,"IQOO Z7 Pro 5G (Blue Lagoon, 256 GB)","₹26,500",4.5
118,"APPLE iPhone 15 (Yellow, 128 GB)","₹76,990",4.6
119,"APPLE iPhone 15 (Pink, 128 GB)","₹76,990",4.6
120,"vivo Y16 (Drizzling Gold, 64 GB)","₹9,818",4.3
121,"APPLE iPhone 15 (Yellow, 128 GB)","₹76,990",4.6
122,Kechaoda K115,"₹1,080",4.1
123,Micromax X778,"₹1,470",3.9
124,Kechaoda K115,"₹1,090",4.1
125,"APPLE iPhone 15 (Pink, 128 GB)","₹76,990",4.6
126,Cellecor X3,₹969,3.7
127,"APPLE iPhone 12 (Black, 128 GB)","₹48,999",4.6
128,Kechaoda K115,"₹1,099",4.1
129,"REDMI Note 12 Pro+ 5G (Arctic White, 256 GB)","₹27,999",4.2
130,"OPPO F23 5G (Bold Gold, 256 GB)","₹22,999",4.2
131,Kechaoda A26,₹965,4
132,"SAMSUNG Galaxy A34 5G (Awesome Violet, 128 GB)","₹28,999",4.2
133,"itel P55 5G |50MP Dual Rear Camera|5000mAh Battery|Expandable Upto 1 TB (Mint Green, 64 GB)","₹9,995",4.3
134,"vivo Y16 (Drizzling Gold, 128 GB)","₹10,959",4.3
135,"itel P55 5G |50MP Dual Rear Camera|5000mAh Battery|Expandable Upto 1 TB (Galaxy Blue, 64 GB)","₹9,985",4.3
136,"OPPO F23 5G (Cool Black, 256 GB)","₹22,999",4.2
137,Micromax X818,"₹1,525",3.9
138,"REDMI Note 12 5G (Matte Black, 256 GB)","₹18,999",4.1
139,Micromax X818,"₹1,589",3.9
140,"SAMSUNG Galaxy A34 5G (Awesome Graphite, 128 GB)","₹28,999",4.2
141,Kechaoda K66 The Music House 4,"₹1,190",3.9
142,Kechaoda A26,₹975,4
143,"SAMSUNG Galaxy A14 5G (Black, 128 GB)","₹16,999",4.1
